Chrysler Imperial;62;41;37
Citroën 2CV;40;43;36
Hillman Minx Magnificent;20;1;58
Chevrolet Corvette;17;26;26
Chevrolet Corvette;49;63;53
Cadillac Fleetwood;25;28;13
Chevrolet Corvette;15;46;15
Ford Thunderbird;34;39;3
Chevrolet Corvette;5;23;69
Chevrolet Corvetteś;41;28;24
BMW 600;3;56;22
Chevrolet Corvette;21;30;28
BMW 600;28;72;46
Ford Thunderbird;8;42;79
Austin Mini;25;56;49
Chevrolet Corvette;53;39;66
BMW 600;31;27;47
Chevrolet Corvair;31;13;0
Chevrolet Corvette;29;39;39
Fillmore Fillmore;21;2;34
Fairthorpe Rockette;27;17;21
Austin Mini Cooper;19;15;12
Studebaker Avanti;13;12;43
Pontiac Tempest;4;12;78
Chevrolet Corvette;1;1;14
Pontiac Grand Prix;31;19;28
Chevrolet Corvette;44;37;26
Studebaker Avanti;53;65;44
Buick Special;30;29;42
Austin Mini;5;16;45
Austin Mini Cooper S;23;11;31
Rambler Classic;22;1;40
Ford E-Series;67;54;30
Studebaker Avanti;22;4;37
Pontiac Grand Prix;27;35;16
Chevrolet Corvair 500;12;24;28
Chevrolet Corvette;27;57;29
Chevrolet Corvette;48;35;24
Ford Mustang;60;48;20
Ford Galaxie;43;4;43
Pontiac GTO;41;27;48
Pontiac LeMans;61;35;49
Pontiac Bonneville;24;25;32
Pontiac Grand Prix;24;28;18
Plymouth Fury;40;60;30
Studebaker Avanti;18;29;19
Austin Mini Cooper;21;21;29
Ford Fairlane;3;3;33
Ford Mustang;61;32;42
Ford Thunderbird;35;43;24
Pontiac GTO;51;2;42
Pontiac Grand Prix;6;29;43
Pontiac LeMans;45;6;65
Pontiac Bonneville;6;28;23
Pontiac Tempest;20;12;57
Volkswagen Beetle;11;53;46
Chevrolet Corvette;22;32;30
Ford Galaxie;64;33;36
Ford Mustang;47;6;0
Ford Falcon;22;13;38
Ford Fairlane;13;31;10
Jensen Interceptor;60;60;60
Pontiac Bonneville;41;13;12
Pontiac Grand Prix;36;42;41
Pontiac GTO;42;11;38
Pontiac LeMans;9;37;32
Pontiac Tempest;28;20;35
Chevrolet Corvette;50;27;39
Oldsmobile Toronado;29;6;23
Volkswagen Beetle;54;23;30
Pontiac Tempest;60;27;44
Pontiac Firebird;2;5;35
Pontiac Grand Prix;51;54;19
Pontiac GTO;50;57;53
Pontiac LeMans;15;43;21
Pontiac Bonneville;12;13;36
Chevrolet Camaro;38;35;18
Chevrolet Bel Air;57;36;33
Chevrolet Corvette;60;46;35
Ford Country;24;7;63
Ford Falcon;39;15;24
Ford Mustang;58;16;42
Ford Thunderbird;11;20;7
Ford Fairlane;32;11;19
Mercury Cougar;10;80;34
Jensen Interceptor;14;57;56
Pontiac Firebird;4;25;30
Pontiac Lemans;30;32;26
Pontiac GTO;19;48;21
Pontiac Bonneville;22;4;33
Pontiac Grand Prix;30;36;40
Shelby GT500;16;5;6
Dodge Charger;10;34;4
Mercury Cougar;18;25;14
Ford Mustang;29;82;0
Chevrolet Camaro;53;25;40
Chevrolet Corvette;37;12;17
Pontiac Firebird;4;43;21
Pontiac Grand Prix;32;7;40
Pontiac GTO;38;12;28
Mercury Cougar;30;9;12
Chevrolet Camaro;14;49;43
Chevrolet Corvette;0;84;11
Dodge Charger;52;29;33
Shelby GT350;57;42;51
Ford Mustang;45;48;24
Plymouth Roadrunner;18;6;13
Chevrolet Camaro;26;69;44
Chevrolet Corvette;67;1;22
Pontiac GTO;49;52;4
Pontiac Grand Prix;11;44;21
Mercury Cougar;1;30;40
Ford Mustang;5;28;33
Ford Torino;12;2;22
Porsche 914;36;34;94
Dodge Charger;24;6;12
Ford Mustang;19;43;36
Chevrolet Vega;6;37;25
Chevrolet Camaro;38;24;18
Pontiac GTO;40;12;53
Pontiac Grand Prix;40;34;19
Chevrolet Corvette;14;34;23
Chevrolet Camaro;45;39;25
Citroën SM;50;25;12
Pontiac GTO;20;47;20
Pontiac Grand Prix;40;44;77
Ford Thunderbird;18;71;8
Ford Mustang;41;14;44
