a;22;15;20
abatyse;31;4;13
abdikace;9;62;41
abdikaci;44;10;34
abeced;32;39;11
abeceda;2;15;2
abecede;37;44;30
abecedne;31;53;30
abecedni;38;59;30
abecednich;17;35;34
abecedniho;2;27;33
abecednim;31;54;19
abecednimi;8;56;30
abecedou;11;44;41
abecedu;21;27;24
abecedy;30;40;37
abiturientskych;42;30;29
abnormalne;27;36;1
abnormalni;61;26;44
abnormalnich;17;35;42
abnormalniho;28;17;25
abnormalnim;25;21;36
abnormalnima;44;45;19
abnormalnimi;37;1;23
abnormalnimu;45;19;22
abonenti;34;49;14
absence;35;53;31
absenci;45;36;30
absenter;36;35;24
absentera;8;32;28
absentere;51;43;21
absenterech;21;33;21
absenterem;28;25;34
absenteri;30;18;12
absenterova;40;33;33
absenterove;28;25;37
absenterovi;76;11;9
absenterovo;39;42;45
absenterovou;41;36;25
absenterovu;23;30;33
absenterovy;45;2;64
absenterovych;33;44;40
absenterovym;35;36;44
absenterovyma;9;33;34
absenterovymi;34;43;32
absenterstvi;38;42;19
absenteru;37;44;29
absenterum;36;7;40
absenteruv;47;16;27
absentery;34;0;19
absolutismu;21;22;10
absolutismus;0;14;40
absolutistickeho;19;43;35
absolutisticky;42;48;0
absolutizace;29;35;43
absolutizaci;35;36;34
absolutizuji;28;24;33
absolutne;1;36;27
absolutni;25;35;28
absolutnich;34;13;66
absolutniho;40;31;41
absolutnim;48;25;31
absolutnimi;58;43;45
absolutnimu;38;26;17
absolutno;22;1;33
absolutoria;35;51;7
absolutoriem;8;37;17
absolutorii;46;23;38
absolutoriich;4;18;25
absolutoriim;13;49;58
absolutoriu;35;54;14
absolutorium;39;22;40
absolvent;20;55;33
absolventa;39;21;47
absolvente;21;18;23
absolventech;24;17;57
absolventem;22;1;33
absolventi;36;32;37
absolventova;37;9;4
absolventove;41;35;54
absolventovi;20;8;16
absolventovo;31;43;20
absolventovou;6;52;30
absolventovu;40;15;36
absolventovy;39;52;43
absolventovych;1;13;39
absolventovym;48;34;24
absolventovyma;39;32;25
absolventovymi;33;22;13
absolventu;15;36;20
absolventum;32;45;41
absolventuv;6;41;23
absolventy;21;27;35
absolvoval;13;43;20
absolvovala;17;2;24
absolvovali;45;8;9
absolvovalo;25;2;83
absolvovanem;2;39;21
absolvovani;25;36;46
absolvovanich;41;6;26
absolvovanim;49;46;37
absolvovanimi;2;46;13
absolvovat;49;7;20
absolvuje;38;43;28
absolvujeme;51;43;19
absolvuji;56;19;27
absorpce;55;22;18
absorpcne;29;37;28
absorpcni;40;25;14
absorpcnich;23;48;14
absorpcniho;41;25;47
absorpcnim;29;10;45
absorpcnimi;29;37;2
absorpcnimu;32;34;0
abstinent;30;49;32
abstinentem;49;37;38
abstinovat;10;48;45
abstrahoval;38;38;44
abstrahuje;23;41;47
abstrahujeme;34;25;25
abstrakce;50;42;31
abstrakci;35;27;11
abstrakcim;18;19;46
abstrakta;20;18;12
abstraktne;2;56;25
abstraktnejsi;38;28;15
abstraktnejsich;13;45;40
abstraktnejsiho;18;38;18
abstraktnejsim;48;47;33
abstraktnejsimi;24;12;28
abstraktnejsimu;40;46;17
abstraktni;62;47;17
abstraktnich;15;10;16
abstraktniho;53;13;24
abstraktnim;9;34;23
abstraktnima;20;30;14
abstraktnimi;23;16;29
abstraktnimu;9;14;22
abstraktnost;29;36;51
absurdita;40;14;32
absurdne;28;43;53
absurdnejsi;19;32;33
absurdni;35;21;3
absurdnich;58;19;52
absurdniho;39;32;39
absurdnosti;26;15;43
aby;20;26;40
abych;23;36;45
abychom;22;32;33
abys;9;5;16
abyste;45;38;31
ac;55;22;29
academia;12;59;36
aceton;38;10;44
acetonem;17;40;21
acetonova;36;49;29
acetonove;37;23;33
acetonovych;18;23;27
acetonovymi;32;32;15
acetonu;35;40;32
acetyl;43;29;30
ach;27;38;47
achilles;29;29;10
achillova;0;11;54
achillovou;49;27;34
ackoli;43;7;35
ackoliv;23;19;40
acyklicka;36;12;30
acyklicke;28;18;39
acyklickeho;31;64;46
acyklickou;35;27;17
acyklicky;42;40;37
acyklickych;39;41;21
acyklicnost;10;26;34
acylpyrin;35;29;67
acylpyrinem;40;54;22
ad;27;76;20
adam;55;35;15
adama;22;25;10
adamce;8;9;18
adamcem;0;40;39
adamcovi;11;36;7
adame;30;46;12
adamec;19;44;38
adamove;64;10;31
adamovi;57;34;29
adamovo;19;43;30
adamovym;7;49;49
adaptabilita;49;31;9
adaptabilitou;20;43;13
adaptabilitu;57;44;31
adaptace;13;35;1
adaptaci;29;43;55
adaptacich;38;13;35
adaptacnich;25;22;41
adapter;38;52;14
adapterem;25;22;13
adapteru;43;45;29
adaptovan;14;37;34
adaptovane;26;61;44
adaptovanych;24;16;24
adaptovat;43;40;39
adaptovatelne;35;25;15
adaptuje;43;4;43
adaptuji;45;11;11
adekvatne;6;43;30
adekvatni;33;27;45
adekvatnich;35;34;38
adekvatnim;35;58;41
adekvatnimi;45;27;16
adekvatnosti;49;48;19
adela;31;32;35
adelino;52;51;3
adept;20;2;54
adepta;18;64;24
adepte;39;22;5
adeptech;9;2;21
adeptem;28;35;14
adepti;21;20;24
adeptova;18;30;14
adeptove;50;30;40
adeptovi;43;44;10
adeptovo;15;32;18
adeptovou;32;32;45
adeptovu;26;42;24
adeptovy;40;20;38
adeptovych;39;51;10
adeptovym;36;4;33
adeptovyma;15;30;54
adeptovymi;12;33;33
adeptu;12;34;33
adeptum;45;33;25
adeptuv;13;37;23
adepty;32;34;54
aditivni;18;26;30
aditivnimi;49;19;40
adjektivem;13;11;58
adjustovat;39;23;19
administrace;25;38;16
administraci;3;12;58
administrativ;32;7;2
administrativa;45;28;6
administrative;9;30;29
administrativne;45;0;38
administrativnejsi;22;40;30
administrativnejsich;45;30;36
administrativnejsiho;56;7;63
administrativnejsim;11;0;16
administrativnejsimi;27;21;56
administrativnejsimu;24;38;27
administrativni;22;9;44
administrativnich;28;16;19
administrativniho;20;26;40
administrativnim;24;38;31
administrativnimi;28;29;28
administrativnimu;40;42;35
administrativu;24;7;58
administrativy;47;6;28
admiral;24;31;37
admirala;31;49;19
admirale;5;34;29
admiralech;37;46;16
admiralem;33;28;11
admiralita;7;15;15
admiralite;21;37;30
admiralitniho;40;33;65
admiralitnimu;40;16;27
admirality;43;37;36
admiralova;36;17;36
admiralove;22;58;28
admiralovi;39;44;39
admiralovo;25;42;10
admiralovou;56;12;16
admiralovu;14;14;48
admiralovy;44;15;1
admiralovych;24;48;10
admiralovym;47;14;7
admiralovyma;33;29;15
admiralovymi;41;42;30
admiralska;3;19;46
admiralu;59;10;14
admiralum;24;17;30
admiraluv;79;44;31
admiraly;23;68;51
adolf;17;42;37
adolfa;54;5;39
adolfu;35;31;17
adopce;27;32;45
adopci;40;39;34
adoptuje;50;38;12
adrenalin;39;37;25
adrenalinu;43;50;3
adres;13;36;15
adresa;32;9;14
adresace;36;34;42
adresach;18;43;37
adresaci;27;23;26
adresacni;25;46;32
adresacnich;42;59;15
adresacnimi;0;30;36
adresam;59;42;18
adresami;39;14;23
adresar;6;28;42
adresare;55;52;21
adresarem;54;4;10
adresari;60;13;35
adresarich;31;29;19
adresarova;11;13;27
adresarove;67;24;36
adresarovou;25;42;40
adresaru;17;21;43
adresarum;52;41;24
adresat;30;30;55
adresata;5;53;16
adresate;35;22;19
adresatech;40;29;27
adresatem;53;11;36
adresati;61;34;47
adresatky;52;42;22
adresatova;29;38;45
adresatove;29;3;50
adresatovi;19;25;9
adresatovo;57;41;11
adresatovou;23;34;16
adresatovu;18;4;60
adresatovy;47;9;38
adresatovych;0;25;32
adresatovym;34;21;55
adresatovyma;54;38;24
adresatovymi;0;50;34
adresatu;17;66;38
adresatum;19;0;27
adresatuv;23;25;26
adresaty;31;41;35
adrese;18;10;39
adresna;43;42;37
adresne;34;24;17
adresni;6;10;32
adresnich;40;41;34
adresniho;31;21;10
adresnim;48;35;23
adresnimi;35;6;8
adresou;48;43;37
adresovaci;47;38;7
adresovacich;28;26;42
adresovaciho;26;44;57
adresovacim;33;19;21
adresoval;3;33;2
picus;28;40;8
magor;50;44;44
hovno;35;36;16
pica;42;36;43
nikdo;46;55;50
lama;24;39;24
nasrat;5;32;8
kreten;13;35;40
debil;42;9;42
kulovy;63;30;24
nereknu;32;43;65
nepovim;34;37;12
anihovno;24;55;25
broucek;54;25;16
adresovala;33;20;12
adresovali;30;29;43
adresovan;17;18;34
adresovana;42;21;40
adresovane;37;5;23
adresovaneho;31;2;23
adresovanemu;21;28;23
adresovani;25;33;37
adresovanich;19;60;24
adresovanim;24;69;63
adresovanimi;37;28;40
adresovano;5;52;25
adresovanou;36;49;8
adresovany;18;40;48
adresovanych;40;32;31
adresovanym;8;43;26
adresovat;12;19;3
adresovatelna;40;35;47
adresovatelne;24;38;8
adresovatelnost;43;32;38
adresovatelnosti;38;30;36
adresovatelnou;43;35;15
adresovatelny;23;31;22
adresovatelnymi;50;43;23
adresu;40;22;62
adresuje;13;20;30
adresujeme;38;58;4
adresuji;6;29;27
adresujiciho;40;8;33
adresujicim;34;12;25
adresy;45;52;60
adriana;3;23;15
adrianu;37;26;25
advokat;16;6;26
advokata;2;29;32
advokate;20;14;25
advokatech;14;27;24
advokatek;35;26;15
advokatem;18;27;60
advokati;6;7;50
advokatne;37;23;8
advokatni;11;35;21
advokatnich;44;34;17
advokatniho;13;24;33
advokatnim;51;12;55
advokatnima;16;8;24
advokatnimi;15;15;21
advokatnimu;28;35;43
advokatova;40;44;35
advokatove;21;30;20
advokatovi;6;40;28
advokatovo;26;21;49
advokatovou;40;22;25
advokatovu;36;39;35
advokatovy;49;39;18
advokatovych;31;39;16
advokatovym;61;39;27
advokatovyma;31;16;33
advokatovymi;45;29;37
advokatsky;34;12;26
advokatu;8;35;47
advokatum;59;38;15
advokatuv;22;29;31
advokaty;26;24;59
aerobic;38;46;32
aerobni;17;28;15
aerobnich;52;51;19
aerobniho;25;15;15
aerobnim;28;31;21
aerodynamicky;52;27;20
aerodynamiky;48;12;23
aerolinie;25;31;25
aerosolem;38;43;37
aerotaxi;31;24;20
afektovane;23;20;38
afera;49;25;41
afere;21;51;3
aferou;12;20;33
aferova;35;26;32
aferu;16;46;53
afery;30;68;28
aforismech;52;32;49
aforismu;21;27;45
aforismum;53;6;3
aforismus;28;15;40
aforismy;37;42;4
aforisticky;13;18;3
african;31;23;38
africana;44;26;6
africane;34;8;0
africanech;28;40;31
africanem;39;16;52
africanova;69;59;8
africanove;6;22;44
africanovi;46;26;42
africanovo;31;33;48
africanovou;21;33;13
africanovu;24;43;51
africanovy;25;23;26
africanovych;37;30;20
africanovym;55;43;36
africanovyma;32;18;30
africanovymi;41;28;27
africanu;12;22;28
africanum;3;46;49
africanuv;8;40;25
africany;31;36;25
africe;5;52;66
africka;26;37;30
africke;7;25;15
africkeho;62;27;37
africkem;35;12;30
africkou;9;43;33
africky;1;51;5
africkych;9;29;20
africkym;71;28;30
africkymi;41;0;33
afrika;16;21;33
afriku;29;45;5
afriky;30;25;29
afrodita;7;56;36
afroditou;49;24;34
afroditu;6;39;10
afrodity;56;33;38
agend;38;38;36
agenda;19;43;51
agendach;27;2;32
agendami;38;17;24
agende;24;37;41
agendou;27;27;23
agendu;32;20;57
agendy;37;21;23
agent;5;25;5
agenta;26;47;43
agente;3;41;48
agentech;18;6;28
agentem;42;11;51
agenti;15;44;3
agentka;30;25;21
agentkami;27;35;55
agentova;14;30;30
agentove;33;24;7
agentovi;55;27;45
agentovo;19;50;38
agentovou;44;29;27
agentovu;31;34;11
agentovy;2;50;43
agentovych;40;12;17
agentovym;41;25;24
agentovyma;32;30;42
