Aston Martin DB9;40;46;54
Audi A3 3.2 quattro;18;4;20
Audi A4 3.2 FSI quattro;18;4;20
Audi TT 3.2 quattro (8N);16;6;22
Cadillac CTS (Gen. 1);22;14;6
Chevrolet Cobalt SS (2004);10;4;2
Chevrolet Corvette (C6);46;50;74
Dodge Viper SRT-10 (2003);54;52;38
Fiat Grande Punto;2;8;6
Ford GT;82;58;82
Ford Mustang GT (2005);26;20;12
Lamborghini Gallardo Coupé;40;48;82
Lamborghini Murciélago Coupé;74;60;86
Lexus IS 300;4;2;8
Lotus Elise 111R;30;40;54
Mazda RX-7 (FD) (Series 6);42;40;34
Mazda RX-8 (2003);24;10;18
Mercedes-Benz CLK 500;40;24;46
Mercedes-Benz SL 500 (R230);40;24;18
Mercedes-Benz SLR McLaren;60;62;84
Mitsubishi Eclipse GT;14;10;22
Mitsubishi Lancer Evolution VIII;34;30;30
Pontiac GTO (2005);42;26;24
Porsche 911 Carrera S (997);42;40;64
Porsche 911 Turbo S (996);56;56;74
Porsche Carrera GT;62;70;86
Porsche Cayman S (2005);40;38;22
Renault Clio V6;24;20;16
Subaru Impreza WRX STi (2004);40;38;36
Toyota Supra RZ (Mk4);26;20;14
Vauxhall Monaro VXR;42;26;24
Volkswagen Golf GTI (Mk5);12;6;6
Volkswagen Golf GTI (Mk5);22;14;6
Lexus IS 300;20;20;10
Toyota Supra RZ (Mk4);40;36;28
Mazda RX-8 (2003);40;36;42
Mitsubishi Eclipse GT;42;38;44
Porsche Cayman S (2005);60;60;70
Mitsubishi Lancer Evolution VIII;56;58;60
Ford Mustang GT (2005);60;54;48
Mercedes-Benz CLK 500;72;62;86
Lamborghini Gallardo Coupé;90;82;100
Chevrolet Corvette (C6);88;92;100
Dodge Viper SRT-10 (2003);92;90;100
Aston Martin DB9;82;86;100
Mercedes-Benz SLR McLaren;88;100;96
BMW M3 GTR (Race);98;98;62
BMW M3 GTR (Street);32;70;72
Chevrolet Camaro SS 396 (1967);16;46;40
Chevrolet Corvette (C6);76;78;94
Chevrolet Corvette C6.R;94;96;96
Chevrolet Corvette C6.R;90;94;94
Ford GT;96;88;100
Lotus Elise 111R;48;62;76
Mercedes-Benz SL 500 (R230);56;48;42
Mercedes-Benz SL 65 AMG (R230);56;76;72
Mercedes-Benz SL 65 AMG (R230);54;76;72
Porsche 911 Carrera S (997);60;62;82
Porsche 911 GT2 (996);42;80;82
Porsche 911 GT2 (996);42;76;78
Toyota Supra RZ (Mk4);44;42;40
